Multiplier: 5
Decision_Tree: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
24.2,entropy,5,128,200,0.875,0.0004,0.9996,0.125,0.0006,0.8809,210.769
24.3,entropy,5,128,200,0.876,0.0004,0.9996,0.124,0.0006,0.8843,224.532
24.4,entropy,5,128,200,0.8769,0.0004,0.9996,0.1231,0.0006,0.8877,271.798
24.5,entropy,5,128,200,0.876,0.0004,0.9996,0.124,0.0006,0.8843,284.543
25.1,entropy,6,32,100,0.8571,0.0004,0.9996,0.1429,0.0006,0.8876,278.712
25.2,entropy,6,32,100,0.8682,0.0004,0.9996,0.1318,0.0006,0.8809,232.252
25.3,entropy,6,32,100,0.8828,0.0004,0.9996,0.1172,0.0006,0.8843,181.695
25.4,entropy,6,32,100,0.8722,0.0004,0.9996,0.1278,0.0006,0.8945,170.755
25.5,entropy,6,32,100,0.8561,0.0004,0.9996,0.1439,0.0006,0.8842,179.997
26.1,entropy,6,32,200,0.8626,0.0004,0.9996,0.1374,0.0006,0.8842,250.817
26.2,entropy,6,32,200,0.912,0.0004,0.9996,0.088,0.0005,0.8877,264.408
26.3,entropy,6,32,200,0.8571,0.0004,0.9996,0.1429,0.0006,0.8876,279.5
26.4,entropy,6,32,200,0.8702,0.0004,0.9996,0.1298,0.0006,0.8877,285.301
26.5,entropy,6,32,200,0.881,0.0004,0.9996,0.119,0.0006,0.8775,285.331
27.1,entropy,6,64,100,0.8968,0.0004,0.9996,0.1032,0.0006,0.8843,280.106
27.2,entropy,6,64,100,0.9048,0.0004,0.9996,0.0952,0.0005,0.8877,280.368
27.3,entropy,6,64,100,0.8976,0.0004,0.9996,0.1024,0.0005,0.8877,218.333
27.4,entropy,6,64,100,0.8968,0.0004,0.9996,0.1032,0.0006,0.8843,182.535
27.5,entropy,6,64,100,0.8968,0.0004,0.9996,0.1032,0.0006,0.8843,174.342
28.1,entropy,6,64,200,0.8968,0.0004,0.9996,0.1032,0.0006,0.8843,306.286
28.2,entropy,6,64,200,0.8898,0.0004,0.9996,0.1102,0.0006,0.8843,266.406
28.3,entropy,6,64,200,0.904,0.0004,0.9996,0.096,0.0005,0.8843,252.76
28.4,entropy,6,64,200,0.8976,0.0004,0.9996,0.1024,0.0005,0.8877,240.91
28.5,entropy,6,64,200,0.904,0.0004,0.9996,0.096,0.0005,0.8843,237.695
29.1,entropy,6,128,100,0.9187,0.0004,0.9996,0.0813,0.0005,0.8843,203.851
29.2,entropy,6,128,100,0.9032,0.0004,0.9996,0.0968,0.0006,0.8809,199.093
29.3,entropy,6,128,100,0.9113,0.0004,0.9996,0.0887,0.0005,0.8843,195.609
29.4,entropy,6,128,100,0.9262,0.0004,0.9996,0.0738,0.0005,0.8843,221.004
29.5,entropy,6,128,100,0.9268,0.0004,0.9996,0.0732,0.0005,0.8877,200.5
30.1,entropy,6,128,200,0.9187,0.0004,0.9996,0.0813,0.0005,0.8843,305.094
30.2,entropy,6,128,200,0.9187,0.0004,0.9996,0.0813,0.0005,0.8843,333.914
30.3,entropy,6,128,200,0.9268,0.0004,0.9996,0.0732,0.0005,0.8877,278.538
30.4,entropy,6,128,200,0.9187,0.0004,0.9996,0.0813,0.0005,0.8843,296.188
30.5,entropy,6,128,200,0.9262,0.0004,0.9996,0.0738,0.0005,0.8843,294.189
31.1,entropy,7,32,100,0.9187,0.0004,0.9996,0.0813,0.0005,0.8843,280.449
31.2,entropy,7,32,100,0.8968,0.0004,0.9996,0.1032,0.0006,0.8843,263.25
31.3,entropy,7,32,100,0.8968,0.0004,0.9996,0.1032,0.0006,0.8843,226.664
31.4,entropy,7,32,100,0.9062,0.0004,0.9996,0.0938,0.0005,0.8945,198.756
31.5,entropy,7,32,100,0.8992,0.0004,0.9996,0.1008,0.0005,0.8945,188.91
32.1,entropy,7,32,200,0.9055,0.0004,0.9996,0.0945,0.0005,0.8911,306.303
32.2,entropy,7,32,200,0.9,0.0004,0.9996,0.1,0.0005,0.8979,264.544
32.3,entropy,7,32,200,0.9032,0.0004,0.9996,0.0968,0.0006,0.8809,267.652
32.4,entropy,7,32,200,0.9113,0.0004,0.9996,0.0887,0.0005,0.8843,275.938
32.5,entropy,7,32,200,0.9106,0.0004,0.9996,0.0894,0.0005,0.8809,288.783
33.1,entropy,7,64,100,0.9187,0.0004,0.9996,0.0813,0.0005,0.8843,283.034
33.2,entropy,7,64,100,0.9174,0.0004,0.9996,0.0826,0.0005,0.8775,241.422
33.3,entropy,7,64,100,0.9256,0.0004,0.9996,0.0744,0.0005,0.8809,224.373
33.4,entropy,7,64,100,0.9187,0.0004,0.9996,0.0813,0.0005,0.8843,206.73
33.5,entropy,7,64,100,0.9194,0.0004,0.9996,0.0806,0.0005,0.8877,202.191
34.1,entropy,7,64,200,0.9256,0.0004,0.9996,0.0744,0.0005,0.8809,312.168
34.2,entropy,7,64,200,0.9187,0.0004,0.9996,0.0813,0.0005,0.8843,284.898
34.3,entropy,7,64,200,0.9194,0.0004,0.9996,0.0806,0.0005,0.8877,290.168
34.4,entropy,7,64,200,0.9113,0.0004,0.9996,0.0887,0.0005,0.8843,294.647
